ID, name, author, year
1, Algorithms to Live By: The Computer Science of Human Decisions, Brian Christian; Tom  Griffiths, 2016
2, Concrete Mathematics: A Foundation for Computer Science, Ronald L. Graham; Donald Ervin Knuth; Oren Patashnik, 1988
3, Structure and Interpretation of Computer Programs, Harold Abelson; Gerald Jay Sussman; Julie Sussman, 1984
4, Computer Science: An Overview, J. Glenn Brookshear, 1985
5, Mathematics for Computer Science, Eric Lehman; F. Thomson Leighton; Albert R. Meyer, 2010
6, Software Engineering, Ian Sommerville, 1982
7, Python Programming: An Introduction to Computer Science, John M. Zelle, 2003
8, Computer Science Illuminated, Nell B. Dale; John   Lewis, 2002
9, Mathematical Structures for Computer Science, Judith L. Gersting, 1982
10, Writing for Computer Science, Justin Zobel, 1997
11, Quantum Computer Science, N. David Mermin, 2007
12, Turing&#39;s Vision: The Birth of Computer Science, Chris Bernhardt, 2016
13, The New Turing Omnibus: 66 Excursions In Computer Science, A.K. Dewdney, 1989
14, Computer Science Distilled: Learn the Art of Solving Computational Problems, Wladston Ferreira Filho; Raimondo Pictet,
15, Foundations of Computer Science, Behrouz A. Forouzan, 2002
16, Selected Papers on Computer Science, Donald Ervin Knuth, 1996
17, Discrete Mathematical Structures with Applications to Computer Science, Jean-Paul Tremblay; R. Manohar, 1975
18, Computer Science: A Structured Approach Using C++, Behrouz A. Forouzan; Richard F. Gilberg, 1999
19, An Invitation to Computer Science, G. Michael Schneider; Judith L. Gersting; Keith Miller, 1995
20, Theory Of Computer Science: Automata+ Languages And Computation, K.L.P. Mishra; Nagasubramaniyan Chandrasekaran,
21, Algorithms to Live By: The Computer Science of Human Decisions, Brian Christian; Tom  Griffiths, 2016
22, Concrete Mathematics: A Foundation for Computer Science, Ronald L. Graham; Donald Ervin Knuth; Oren Patashnik, 1988
23, Structure and Interpretation of Computer Programs, Harold Abelson; Gerald Jay Sussman; Julie Sussman, 1984
24, Computer Science: An Overview, J. Glenn Brookshear, 1985
25, Mathematics for Computer Science, Eric Lehman; F. Thomson Leighton; Albert R. Meyer, 2010
26, Software Engineering, Ian Sommerville, 1982
27, Python Programming: An Introduction to Computer Science, John M. Zelle, 2003
28, Computer Science Illuminated, Nell B. Dale; John   Lewis, 2002
29, Mathematical Structures for Computer Science, Judith L. Gersting, 1982
30, Writing for Computer Science, Justin Zobel, 1997
31, Quantum Computer Science, N. David Mermin, 2007
32, Turing&#39;s Vision: The Birth of Computer Science, Chris Bernhardt, 2016
33, The New Turing Omnibus: 66 Excursions In Computer Science, A.K. Dewdney, 1989
34, Computer Science Distilled: Learn the Art of Solving Computational Problems, Wladston Ferreira Filho; Raimondo Pictet,
35, Foundations of Computer Science, Behrouz A. Forouzan, 2002
36, Selected Papers on Computer Science, Donald Ervin Knuth, 1996
37, Discrete Mathematical Structures with Applications to Computer Science, Jean-Paul Tremblay; R. Manohar, 1975
38, Computer Science: A Structured Approach Using C++, Behrouz A. Forouzan; Richard F. Gilberg, 1999
39, An Invitation to Computer Science, G. Michael Schneider; Judith L. Gersting; Keith Miller, 1995
40, Theory Of Computer Science: Automata+ Languages And Computation, K.L.P. Mishra; Nagasubramaniyan Chandrasekaran,
41, Multiple Choice Questions in Computer Science, Ela Kumar, 2008
42, Systems Programming, John J. Donovan, 1972
43, Graph Theory With Applications To Engineering And Computer Science, Narsingh Deo, 2004
44, Theory Of Computer Science, K.L.P. Mishra; N. Chandrashekaran,
45, English for Computer Science, P. Charles Brown; Norma D. Mullen,
46, Computer Science, C.S. French, 1989
47, Computer Science, Les Goldschlager, 1982
48, Computer Science: A Structured Programming Approach Using C, Behrouz A. Forouzan; Richard F. Gilberg, 2000
49, Probability+ Statistics+ and Queuing Theory With Computer Science Applications (Computer Science and Scientific Computing), Arnold O. Allen, 1978
50, Java: An Introduction to Computer Science and Programming, Walter J. Savitch, 1998
51, Computer Science: An Interdisciplinary Approach, Robert Sedgewick; Kevin Wayne, 2016
52, A Balanced Introduction to Computer Science, David       Reed, 2004
53, Cambridge International as and a Level Computer Science Revision Guide, Tony Piper,
54, Computer Science Programming Basics in Ruby, Ophir Frieder; Gideon Frieder; David A. Grossman, 2012
55, Foundations of Computer Science: C Edition, Alfred V. Aho; Jeffrey D. Ulman, 1992
56, Logic in Computer Science: Modelling and Reasoning about Systems, Michael  Huth; Mark Ryan, 1999
57, New Understanding Computer Science for Advanced Level, Ray Bradley, 1997
58, Barron&#39;s AP Computer Science A, Roselyn Teukolsky, 2015
59, Mathematical Logic for Computer Science, Mordechai Ben-Ari, 2001
60, Connecting with Computer Science, David Ferro; Robert Hilton, 2005
61, Technical Aptitude for Interviews: Computer Science and IT, Ela Kashyap Sharma, 2014
62, Algorithms on Strings+ Trees and Sequences: Computer Science and Computational Biology, Dan Gusfield, 1997
63, Probability and Statistics with Reliability+ Queuing+ and Computer Science Applications, Kishor S. Trivedi, 1982
64, Computer Science: A Breadth-First Approach with C, John Impagliazzo; Paul Nagin, 1995
65, Practical Programming: An Introduction to Computer Science Using Python, Jennifer Campbell; Paul Gries; Jason Montojo, 2009
66, English for Computer Science, Norma D. Mullen; P. Charles Brown, 1988
67, Languages and Machines: An Introduction to the Theory of Computer Science, Thomas A. Sudkamp, 1988
68, It Began with Babbage: The Genesis of Computer Science, Subrata Dasgupta, 2013
69, Krishnamurthy: Introduct Theory+ of Computer Science, E.V. Krishnamurthy, 1985
70, Mathematical Foundations of Computer Science, Shahnaz Bathul, 2010
71, Computer Science, WAGmob, 2013
72, Introductory Theory Of Computer Science, V.E. Krishnamurthy, 1983
73, Computability+ Complexity+ and Languages: Fundamentals of Theoretical Computer Science, Martin D. Davis; Ron Sigal; Elaine J. Weyuker, 1983
74, English for Computer Science, Norma D. Mullen; P. Charles Brown; Charles P. Brown, 1984
75, Encyclopedia of Computer Science and Technology, Harry Henderson, 2003
76, On the cruelty of teaching Computer Science, Edsger W. Dijkstra, 1988
77, An Introduction to Computer Science: An Algorithmic Approach, Jean-Paul Tremblay; Richard B. Bunt, 1980
78, Aqa a Level Computer Science, Bob Reeves, 2015
79, Computer Science Principles: The Foundational Concepts of Computer Science - For AP® Computer Science Principles, Kevin  Hare,
80, Philosophy and Computer Science, Timothy R. Colburn, 1999
81, Computer Science With C++ Concepts File Handling Data Structures - Vol. I and II, Sumita Arora,
82, Encyclopedia of Computer Science, Anthony Ralston; Chester L. Meek, 1976
83, Computer Science Handbook, Allen B. Tucker Jr., 2004
84, Discrete Mathematics for Computer Science, Kenneth P. Bogart; Clifford Stein, 2005
85, Computer Science LOGO Style, Brian Harvey, 1985
86, Cambridge IGCSE Computer Science, Dave Watson; Helen Williams, 2015
87, Godman, Cit Computer Science, 1985
88, Categories and Computer Science, R.F.C. Walters, 1992
89, Exploring Computer Science with Scheme, Oliver Grillmeyer, 1997
90, English for Computer Science, P. Charles Brown; Norma D. Mullen,
91, Discrete Mathematics for Computer Scientists, John K. Truss, 1991
92, Discrete Mathematics in Computer Science, Donald F. Stanat, 1977
93, Coding the Matrix: Linear Algebra through Computer Science Applications, Philip N. Klein, 2013
94, Combinatorics for Computer Science, S. Gill Williamson,
95, Barron&#39;s AP Computer Science A, Roselyn Teukolsky, 2013
96, Schaum&#39;s Outline of Principles of Computer Science, Carl  Reynolds; Paul Tymann, 2008
97, Switching and Finite Automata Theory: Computer Science Series, Zvi Kohavi, 1978
98, Theory of Computer Science: Automata+ Languages and Computation+ 3/E, K.L.P. Mishra; N. Chandrasekaran, 2013
99, Probability and Statistics with Reliability+ Queuing+ and Computer Science Applications, Kishor Shridharbhai Trivedi, 2001
100, Discrete Mathematical Structures for Computer Science, Bernard Kolman; Robert C. Busby, 1984
101, Essentials of Theoretical Computer Science, F.D. Lewis,
102, Extremal Combinatorics: With Applications in Computer Science, Stasys Jukna, 2001
103, Computer Science+ a First Course, Alexandra I. Forsythe,
104, Cognitive Dynamics of Computer Science, Szabolcs de Gyurky, 2005
105, Introduction to Computer Science, Rohit Khurana, 2011
106, Introduction to Computer Science, Paul W. Murrill; Cecil L. Smith, 1973
107, Schaum&#39;s Introduction to Computer Science, Ramon Mata-Toledo, 1999
108, Solution Manual to Discrete Mathematics from Computer Science, Romualdas Skvarcius; William B. Robinson, 1986
109, A Computer Science Tapestry: Exploring Programming And Computer Science With C++, Owen Astrachan, 1999
110, Help Your Kids with Computer Science, DK Publishing,
111, Logic and Discrete Mathematics: A Computer Science Perspective, Winfried Karl Grassmann; Jean-Paul Tremblay, 1995
112, Gre Computer Science, Research &amp; Education Association; Gary Wester, 1998
113, Introduction to Computer Science, Thomas C. Bartee,
114, Logic for Mathematics and Computer Science, Stanley N. Burris, 1997
115, Concise Encyclopedia of Computer Science, Edwin D. Reilly, 2004
116, AP Computer Science A+ 7th edition, Roselyn M.S. Teukolsky, 2015
117, Programming Abstractions in C: A Second Course in Computer Science, Eric S. Roberts, 1997
118, The Computer Science and Engineering Handbook, Allen B. Tucker Jr., 1997
119, Fundamental Structures Of Computer Science, William A. Wulf; Mary Shaw; Paul M. Hilfinger, 1981
120, Computer Science &amp; Perl Programming: Best of The Perl Journal, Jon Orwant, 2002
121, Discrete Structures+ Logic+ and Computability, James L. Hein, 1995
122, Computer Science from the Bottom Up, Ian Wienand, 2004
123, The Emperor&#39;s New Mind: Concerning Computers+ Minds and the Laws of Physics, Roger Penrose; Martin Gardner, 1989
124, Logic Programming and Databases, Stefano Ceri; G. Gottlob, 1990
125, Gems of Theoretical Computer Science, Uwe Schöning, 1998
126, Web Technologies: A Computer Science Perspective, Jeffrey C. Jackson, 2006
127, Computer Science, Michael A. Covington, 1991
128, Semantics With Applications: An Appetizer, Hanne Riis Nielson; Flemming Nielson, 2007
129, Discrete Mathematical Structures for Computer Science, Ronald E Prather, 1976
130, Computer Science Principles V10, Clive W. Humphris, 2012
131, Fundamentals of Computer Science, HARIPRASATH P, 2015
132, Applied Computer Science, Shane Torbert, 2011
133, A Computer Science Tapestry: Exploring Programming and Computer Science with C++, Owen L. Astrachan, 1996
134, Great Ideas in Computer Science with Java, Alan W. Biermann, 1990
135, Invitation to Computer Science: Java Version, G. Michael Schneider; Judith L. Gersting, 2000
136, Linear Logic in Computer Science, Paul Ruet; Thomas Ehrhard; Jean-Yves Girard, 2004
137, Handbook of Theoretical Computer Science, Jan Van Leeuwen, 1990
138, Mathematical Foundation of Computer Science, Yogesh Kumar Singh, 2005
139, Probability and Statistics for Computer Science, James L. Johnson, 1899
140, Probability Models for Computer Science, Sheldon M. Ross, 2001
141, Computer network technologies and services, computer science,
142, Discrete Mathematics: A Bridge to Computer Science and Advanced Mathematics, Olympia Nicodemi, 1987
143, Geometric Algebra for Computer Science: An Object-Oriented Approach to Geometry, Leo Dorst; Stephen Mann; Daniel Fontijne, 2007
144, Keeping the U.S. Computer Industry Competitive:: Systems Integration, Computer Science and Telecommunication Board; National Research Council; Mathematics+ and Applications Commission on Physical Sciences, 1992
145, Concrete Abstractions: An Introduction to Computer Science Using Scheme, Max Hailperin; Barbara K. Kaiser; Karl Knight, 1998
146, Women in Computer Science, Tammy M. &quot;Gagne&quot; Proctor,
147, Computer Science, David Bale, 1988
148, Computer Science, Allen L. Wold, 1984
149, Computer Sciences, K. Lee Lerner, 2013
