ID, name, author, year
1, Computer science - theory and applications : 5th International Computer Science Symposium in Russia+ CSR 2010+ Kazan+ Russia+ June 16-20+ 2010 ; proceedings, , 2010
2, Computer science--theory and applications : 5th International Computer Science Symposium in Russia+ CSR 2010+ Kazan+ Russia+ June 16-20+ 2010 : proceedings, , 2010
3, Computer science principles, Sway+ Julie Schacht, 2018
4, AP computer science principles, Corricelli+ Jacqueline, 2018
5, Fete of combinatorics and computer science, , 2010
6, AP computer science A 2019, Johnson+ Dean R., 2018
7, AP computer science A+ 2017, Johnson+ Dean R., 2016
8, AP computer science A 2018, Johnson+ Dean R., 2017
9, Combinatorics for computer science, Williamson+ S. Gill, 2002
10, Cracking the AP Computer Science A Exam, Gironda+ Matt, 2016
11, Cracking the AP computer science A exam, , 2018
12, Cracking the AP computer science A exam, , 2017
13, Graph-theoretic concepts in computer science : 36th international workshop+ WG 2010+ Zarós+ Crete+ Greece+ June 28-30+ 2010 : revised papers, , 2010
14, Graph-theoretic concepts in computer science : 35th international workshop+ WG 2009+ Montpellier+ France+ June 24-26+ 2009 : revised papers, , ©2010
15, Mathematical foundations of computer science 2010 : 35th international symposium+ MFCS 2010+ Brno+ Czech Republic+ August 23-27+ 2010 : proceedings, , 2010
16, Deontic logic in computer science : 10th international conference+ DEON 2010+ Fiesole+ Italy+ July 7-9+ 2010 : proceedings, , 2010
17, Advances in computer science and information technology : AST/UCMA/ISA/ACN 2010 conferences+ Miyazaki+ Japan+ June 23-25+ 2010 : joint proceedings, , c2010
18, SOFSEM 2010: Theory and Practice of Computer Science : 36th Conference on Current Trends in Theory and Practice of Computer Science+ Špindlerův Mlýn+ Czech Republic+ January..., , ©2010
19, Concrete mathematics : a foundation for computer science, Graham+ Ronald L., ©1994
20, Mathematical foundations of computer science 2010 : 35th international symposium+ MFCS 2010+ Brno+ Czech Republic+ August 23-27+ 2010 : proceedings, , 2010
21, Advanced computer science and information technology : second International Conference+ AST 2010+ Miyazaki+ Japan+ June 23-25+ 2010+ proceedings, , c2010
22, Deontic logic in computer science : 10th International Conference+ DEON 2010+ Fiesole+ Italy+ July 7-9+ 2010. Proceedings, , c2010
23, Python programming : an introduction to computer science, Zelle+ John M., ©2010
24, Advances in computer science and information technology : AST/UCMA/ISA/ACN 2010 conferences+ Miyazaki+ Japan+ June 23-25+ 2010 ; joint proceedings, , 2010
25, Computer science logic : 24th international workshop+ CSL 2010+ 19th annual conference of the EACSL+ Brno+ Czech Republic+ August 23-27+ 2010 : proceedings, , 2010
26, Algorithms to live by : the computer science of human decisions, Christian+ Brian, 2016
27, Java : an introduction to computer science and programming, Savitch+ Walter J., ©2001
28, The computer book : from the abacus to artificial intelligence+ 250 milestones in the history of computer science, Garfinkel+ Simson, 2018
29, Geometric algebra computing : in engineering and computer science, , c2010
30, Theoretical computer science : 6th IFIP TC 1/WG 2.2 International Conference+ TCS 2010+ held as part of WCC 2010+ Brisbane+ Australia+ September 20-23+ 2010. proceedings, , c2010
31, Computer science logic : 24th international workshop+ CSL 2010+ 19th Annual Conference of the EACSL+ Brno+ Czech Republic+ August 23-27+ 2010 : proceedings, , 2010
32, Transactions on computational science VII, , ©2010
33, Transactions on computational science VIII, , ©2010
34, Innovations in computing sciences and software engineering, , ©2010
35, Innovations and advances in computer sciences and engineering, , ©2010
36, Computer sciences, , c2002
37, Transactions on computational science XI : special issue on security in computing+ Part II, , 2010
38, Advanced techniques in computing sciences and software engineering, , 2010
39, Computational science and its applications -- ICCSA 2010 : international conference+ Fukuoka+ Japan+ March 23-26 : proceedings. Part IV, , c2010
40, Computational science and its applications -- ICCSA 2010 : international conference+ Fukuoka+ Japan+ March 23-26 : proceedings. Part I, , c2010
41, Computational science and its applications -- ICCSA 2010 : international conference+ Fukuoka+ Japan+ March 23-26 : proceedings. Part II, , c2010
42, Computational science and its applications -- ICCSA 2010 : international conference+ Fukuoka+ Japan+ March 23-26 : proceedings. Part III, , c2010
43, Transactions on computational science X : special issue on security in computing+ Part I, , 2010
44, Transactions on computational science IX : special issue on voronoi diagrams in science and engineering, , c2010
45, Discrete calculus : applied analysis on graphs for computational science, Grady+ Leo J., 2010
46, Nuclear computational science : a century in review, Azmy+ Yousry, c2010
47, Theoretical computer sciences : lectures given at the Centro Internazionale Matematico Estivo (C.I.M.E.) held in Bressanone (Bolzano)+ Italy+ June 9-14+ 1975, , 2010
48, Computer and information science 2010, , 2010
49, Advanced computational methods in science and engineering, , c2010
50, Computer and information sciences : proceedings of the 25th International Symposium on Computer and Information Sciences, , c2010
51, Foundations of software science and computational structures : 13th international conference+ FOSSACS 2010+ held as part of the joint European Conferences on Theory and Practice..., , ©2010
52, Foundations of software science and computational structures : 13th International Conference+ FOSSACS 2010+ held as part of the Joint European Conferences on Theory and Practice..., , ©2010
53, Science in the age of computer simulation, Winsberg+ Eric B., 2010
54, High performance networking+ computing+ communication systems+ and mathematical foundations : International Conferences+ ICHCC 2009-ICTMF 2009+ Sanya+ Hainan Island+ China+..., , ©2010
55, High performance computing in science and engineering '09 : transactions of the High Performance Computing Center+ Stuttgart (HLRS) 2009, , c2010
